example_id,model_name,model_short,model_type,layer,method,repr,pooling,D,tau,baseline_tau,abtt_tau,query_index,candidate_index,query_file_id,candidate_file_id,query_path,candidate_path,query_folder_id,candidate_folder_id,candidate_label,candidate_role,gold_similar,baseline_score,abtt_score,baseline_pred,abtt_pred,bucket,baseline_disagrees,baseline_margin,abtt_margin,baseline_margin_abs,abtt_margin_abs,bucket_slot,methods_available
11,bowphs/PhilTa,PhilTa,t5,6,abtt_optimal,hidden,mean,10,0.4623115577889447,0.9748743718592964,0.4623115577889447,101,102,211,213,/u/irowerojas/localLatin/canon/CANT.328.15/Brn425.35r.3.txt,/u/irowerojas/localLatin/canon/CANT.328.15/D1723.537.8.txt,CANT.328.15,CANT.328.15,CANT.328.15,pair_example,1,0.7850884,0.8958514,0,1,correct_similar,1,-0.1897859519450507,0.4335398158835406,0.1897859519450507,0.4335398158835406,1,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark"
12,bowphs/PhilTa,PhilTa,t5,6,abtt_optimal,hidden,mean,10,0.4623115577889447,0.9748743718592964,0.4623115577889447,262,263,532,535,/u/irowerojas/localLatin/canon/CGAN.355.8/Brn425.36r.6.txt,/u/irowerojas/localLatin/canon/CGAN.355.8/Hat42.165r.1.txt,CGAN.355.8,CGAN.355.8,CGAN.355.8,pair_example,1,0.9434382,0.86850476,0,1,correct_similar,1,-0.0314361995189033,0.4061932048605914,0.0314361995189033,0.4061932048605914,2,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark"
13,bowphs/PhilTa,PhilTa,t5,6,abtt_optimal,hidden,mean,10,0.4623115577889447,0.9748743718592964,0.4623115577889447,526,527,1040,1041,/u/irowerojas/localLatin/canon/Can.apost.19/C1525.5v.3.txt,/u/irowerojas/localLatin/canon/Can.apost.19/Hat42.146r.1.txt,Can.apost.19,Can.apost.19,Can.apost.19,pair_example,1,0.8956453,0.8367031,0,1,correct_similar,1,-0.0792290514437995,0.3743915638731951,0.0792290514437995,0.3743915638731951,3,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark"
14,bowphs/PhilTa,PhilTa,t5,6,abtt_optimal,hidden,mean,10,0.4623115577889447,0.9748743718592964,0.4623115577889447,378,379,769,772,/u/irowerojas/localLatin/canon/CNIC.325.9/Brn425.20r.2.txt,/u/irowerojas/localLatin/canon/CNIC.325.9/Hat42.152v.1.txt,CNIC.325.9,CNIC.325.9,CNIC.325.9,pair_example,1,0.957208,0.8317381,0,1,correct_similar,1,-0.0176663940875373,0.3694265565680499,0.0176663940875373,0.3694265565680499,4,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark"
15,bowphs/PhilTa,PhilTa,t5,6,abtt_optimal,hidden,mean,10,0.4623115577889447,0.9748743718592964,0.4623115577889447,66,67,133,135,/u/irowerojas/localLatin/canon/CANC.314.22/Brn425.27r.5.txt,/u/irowerojas/localLatin/canon/CANC.314.22/D1723.530.7.txt,CANC.314.22,CANC.314.22,CANC.314.22,pair_example,1,0.8887751,0.8305083,0,1,correct_similar,1,-0.0860992616145454,0.3681967339323992,0.0860992616145454,0.3681967339323992,5,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark"
16,Qwen/Qwen3-Embedding-0.6B,Qwen3-0.6B,decoder,23,abtt_optimal,hidden,mean,3,0.5226130653266332,0.984924623115578,0.5226130653266332,31,32,60,61,/u/irowerojas/localLatin/canon/CANC.314.10/BAV1341.11v.6.txt,/u/irowerojas/localLatin/canon/CANC.314.10/Brn425.23v.4.txt,CANC.314.10,CANC.314.10,CANC.314.10,pair_example,1,0.9836768,0.7874345,0,1,correct_similar,1,-0.0012478319244769,0.2648214530106165,0.0012478319244769,0.2648214530106165,1,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark"
17,Qwen/Qwen3-Embedding-0.6B,Qwen3-0.6B,decoder,23,abtt_optimal,hidden,mean,3,0.5226130653266332,0.984924623115578,0.5226130653266332,574,575,1158,1159,/u/irowerojas/localLatin/canon/Can.apost.4/Hat42.144r.4.txt,/u/irowerojas/localLatin/canon/Can.apost.4/KoeD213.4v.7.txt,Can.apost.4,Can.apost.4,Can.apost.4,pair_example,1,0.98263747,0.7776185,0,1,correct_similar,1,-0.0022871581154254,0.2550054620857813,0.0022871581154254,0.2550054620857813,2,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark"
18,Qwen/Qwen3-Embedding-0.6B,Qwen3-0.6B,decoder,23,abtt_optimal,hidden,mean,3,0.5226130653266332,0.984924623115578,0.5226130653266332,262,263,532,535,/u/irowerojas/localLatin/canon/CGAN.355.8/Brn425.36r.6.txt,/u/irowerojas/localLatin/canon/CGAN.355.8/Hat42.165r.1.txt,CGAN.355.8,CGAN.355.8,CGAN.355.8,pair_example,1,0.98365784,0.75849414,0,1,correct_similar,1,-0.0012667862015155,0.2358810733910181,0.0012667862015155,0.2358810733910181,3,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark"
19,Qwen/Qwen3-Embedding-0.6B,Qwen3-0.6B,decoder,23,abtt_optimal,hidden,mean,3,0.5226130653266332,0.984924623115578,0.5226130653266332,410,411,829,832,/u/irowerojas/localLatin/canon/CORL.511.17/BAV1341.55r.5.txt,/u/irowerojas/localLatin/canon/CORL.511.17/D1723.540.1.txt,CORL.511.17,CORL.511.17,CORL.511.17,pair_example,1,0.9832962,0.7550872,0,1,correct_similar,1,-0.0016284075813678,0.2324741315003016,0.0016284075813678,0.2324741315003016,4,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark"
20,Qwen/Qwen3-Embedding-0.6B,Qwen3-0.6B,decoder,23,abtt_optimal,hidden,mean,3,0.5226130653266332,0.984924623115578,0.5226130653266332,532,533,1056,1058,/u/irowerojas/localLatin/canon/Can.apost.21/C1525.5v.5.txt,/u/irowerojas/localLatin/canon/Can.apost.21/KoeD213.6v.4.txt,Can.apost.21,Can.apost.21,Can.apost.21,pair_example,1,0.983641,0.742563,0,1,correct_similar,1,-0.0012835947113422,0.2199499439354517,0.0012835947113422,0.2199499439354517,5,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark"
21,sentence-transformers/LaBSE,LaBSE,bert,12,abtt_optimal,hidden,mean,1,0.5829145728643216,0.9195979899497488,0.5829145728643216,98,126,203,270,/u/irowerojas/localLatin/canon/CANT.328.13/Brn425.58v.1.txt,/u/irowerojas/localLatin/canon/CANT.328.4/Brn425.34v.4.txt,CANT.328.13,CANT.328.4,CANT.328.4,pair_example,0,0.9218643,0.22927001,1,0,correct_not_similar,1,0.0022662812141915,-0.3536445616777218,0.0022662812141915,0.3536445616777218,1,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark"
22,sentence-transformers/LaBSE,LaBSE,bert,12,abtt_optimal,hidden,mean,1,0.5829145728643216,0.9195979899497488,0.5829145728643216,123,214,265,428,/u/irowerojas/localLatin/canon/CANT.328.25/Hat42.173r.1.txt,/u/irowerojas/localLatin/canon/CCHA.451.3/D1723.562.3.txt,CANT.328.25,CCHA.451.3,CCHA.451.3,pair_example,0,0.9203093,0.2536981,1,0,correct_not_similar,1,0.0007113152412911,-0.3292164622838772,0.0007113152412911,0.3292164622838772,2,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark"
23,sentence-transformers/LaBSE,LaBSE,bert,12,abtt_optimal,hidden,mean,1,0.5829145728643216,0.9195979899497488,0.5829145728643216,91,359,184,732,/u/irowerojas/localLatin/canon/CANT.328.1/BAV1341.16v.26.txt,/u/irowerojas/localLatin/canon/CNIC.325.2/Hat42.150v.2.txt,CANT.328.1,CNIC.325.2,CNIC.325.2,pair_example,0,0.9201617,0.273621,1,0,correct_not_similar,1,0.0005637341408273,-0.3092935799653805,0.0005637341408273,0.3092935799653805,3,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark"
24,sentence-transformers/LaBSE,LaBSE,bert,12,abtt_optimal,hidden,mean,1,0.5829145728643216,0.9195979899497488,0.5829145728643216,120,122,256,261,/u/irowerojas/localLatin/canon/CANT.328.24/BAV1341.18r.5.txt,/u/irowerojas/localLatin/canon/CANT.328.25/BAV1341.18r.6.txt,CANT.328.24,CANT.328.25,CANT.328.25,pair_example,0,0.9306387,0.29334933,1,0,correct_not_similar,1,0.0110406809715768,-0.2895652472074307,0.0110406809715768,0.2895652472074307,4,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark"
25,sentence-transformers/LaBSE,LaBSE,bert,12,abtt_optimal,hidden,mean,1,0.5829145728643216,0.9195979899497488,0.5829145728643216,92,401,187,813,/u/irowerojas/localLatin/canon/CANT.328.10/BAV1341.17r.8.txt,/u/irowerojas/localLatin/canon/CORA.441.9/BAV1341.49v.20.txt,CANT.328.10,CORA.441.9,CORA.441.9,pair_example,0,0.9202115,0.34194797,1,0,correct_not_similar,1,0.0006135040192147,-0.2409666000898159,0.0006135040192147,0.2409666000898159,5,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark"
26,bowphs/LaTa,LaTa,t5,4,abtt_optimal,hidden,mean,2,0.5628140703517588,0.9296482412060302,0.5628140703517588,358,588,727,1189,/u/irowerojas/localLatin/canon/CNIC.325.19/Hat42.154v.2.txt,/u/irowerojas/localLatin/canon/Can.apost.45/C1525.7v.2.txt,CNIC.325.19,Can.apost.45,Can.apost.45,pair_example,0,0.9664115,-0.6892265,1,0,correct_not_similar,1,0.0367632301608521,-1.2520405784923228,0.0367632301608521,1.2520405784923228,1,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark"
27,bowphs/LaTa,LaTa,t5,4,abtt_optimal,hidden,mean,2,0.5628140703517588,0.9296482412060302,0.5628140703517588,11,612,24,1243,/u/irowerojas/localLatin/canon/CAGD.506.38/D1723.563.9.txt,/u/irowerojas/localLatin/canon/Can.apost.9/C1525.4v.7.txt,CAGD.506.38,Can.apost.9,Can.apost.9,pair_example,0,0.983238,-0.6782055,1,0,correct_not_similar,1,0.0535897405902344,-1.2410195604640637,0.0535897405902344,1.2410195604640637,2,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark"
28,bowphs/LaTa,LaTa,t5,4,abtt_optimal,hidden,mean,2,0.5628140703517588,0.9296482412060302,0.5628140703517588,144,351,311,712,/u/irowerojas/localLatin/canon/CARL.314.19/BAV1341.45v.9.txt,/u/irowerojas/localLatin/canon/CNIC.325.16/C1525.13r.2.txt,CARL.314.19,CNIC.325.16,CNIC.325.16,pair_example,0,0.9622419,-0.66589296,1,0,correct_not_similar,1,0.0325936468402344,-1.228707028992811,0.0325936468402344,1.228707028992811,3,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark"
29,bowphs/LaTa,LaTa,t5,4,abtt_optimal,hidden,mean,2,0.5628140703517588,0.9296482412060302,0.5628140703517588,344,581,696,1174,/u/irowerojas/localLatin/canon/CNIC.325.12/Hat42.153r.2.txt,/u/irowerojas/localLatin/canon/Can.apost.42/C1525.7r.4.txt,CNIC.325.12,Can.apost.42,Can.apost.42,pair_example,0,0.98085535,-0.6497339,1,0,correct_not_similar,1,0.051207104519983,-1.2125479713756235,0.051207104519983,1.2125479713756235,4,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark"
30,bowphs/LaTa,LaTa,t5,4,abtt_optimal,hidden,mean,2,0.5628140703517588,0.9296482412060302,0.5628140703517588,61,557,121,1116,/u/irowerojas/localLatin/canon/CANC.314.20/D1723.530.5.txt,/u/irowerojas/localLatin/canon/Can.apost.32/C1525.6r.7.txt,CANC.314.20,Can.apost.32,Can.apost.32,pair_example,0,0.9462662,-0.6465364,1,0,correct_not_similar,1,0.016617933110376,-1.2093504802066477,0.016617933110376,1.2093504802066477,5,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark"
31,bowphs/PhilTa,PhilTa,t5,6,abtt_optimal,hidden,mean,10,0.4623115577889447,0.9748743718592964,0.4623115577889447,75,107,151,225,/u/irowerojas/localLatin/canon/CANC.314.3/BAV1341.11r.11.txt,/u/irowerojas/localLatin/canon/CANT.328.18/BAV1341.17v.8.txt,CANC.314.3,CANT.328.18,CANT.328.18,pair_example,0,0.9939679,-0.35025373,1,0,correct_not_similar,1,0.0190935188801445,-0.8125652888012891,0.0190935188801445,0.8125652888012891,1,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark"
32,bowphs/PhilTa,PhilTa,t5,6,abtt_optimal,hidden,mean,10,0.4623115577889447,0.9748743718592964,0.4623115577889447,91,409,184,828,/u/irowerojas/localLatin/canon/CANT.328.1/BAV1341.16v.26.txt,/u/irowerojas/localLatin/canon/CORL.511.16/D1723.560.4.txt,CANT.328.1,CORL.511.16,CORL.511.16,pair_example,0,0.9857481,-0.3396973,1,0,correct_not_similar,1,0.0108737403423943,-0.8020088591767316,0.0108737403423943,0.8020088591767316,2,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark"
33,bowphs/PhilTa,PhilTa,t5,6,abtt_optimal,hidden,mean,10,0.4623115577889447,0.9748743718592964,0.4623115577889447,62,449,124,896,/u/irowerojas/localLatin/canon/CANC.314.21/BAV1341.12r.8.txt,/u/irowerojas/localLatin/canon/CRIZ.439.2/BAV1341.48v.2.txt,CANC.314.21,CRIZ.439.2,CRIZ.439.2,pair_example,0,0.9882266,-0.3367783,1,0,correct_not_similar,1,0.0133522206814445,-0.7990898707104688,0.0133522206814445,0.7990898707104688,3,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark"
34,bowphs/PhilTa,PhilTa,t5,6,abtt_optimal,hidden,mean,10,0.4623115577889447,0.9748743718592964,0.4623115577889447,369,496,751,969,/u/irowerojas/localLatin/canon/CNIC.325.4/D1723.557.9.txt,/u/irowerojas/localLatin/canon/CVAI.442.4/BAV1341.50v.4.txt,CNIC.325.4,CVAI.442.4,CVAI.442.4,pair_example,0,0.9880971,-0.33567813,1,0,correct_not_similar,1,0.0132226997883476,-0.7979896881772046,0.0132226997883476,0.7979896881772046,4,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark"
35,bowphs/PhilTa,PhilTa,t5,6,abtt_optimal,hidden,mean,10,0.4623115577889447,0.9748743718592964,0.4623115577889447,111,305,235,614,/u/irowerojas/localLatin/canon/CANT.328.2/C1525.27v.1.txt,/u/irowerojas/localLatin/canon/CNEO.315.11/BAV1341.13r.4.txt,CANT.328.2,CNEO.315.11,CNEO.315.11,pair_example,0,0.9876171,-0.33062008,1,0,correct_not_similar,1,0.0127427035839714,-0.792931638021565,0.0127427035839714,0.792931638021565,5,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark"
36,Qwen/Qwen3-Embedding-0.6B,Qwen3-0.6B,decoder,23,abtt_optimal,hidden,mean,3,0.5226130653266332,0.984924623115578,0.5226130653266332,96,125,197,269,/u/irowerojas/localLatin/canon/CANT.328.12/BAV1341.17v.2.txt,/u/irowerojas/localLatin/canon/CANT.328.4/BAV1341.17r.2.txt,CANT.328.12,CANT.328.4,CANT.328.4,pair_example,0,0.98719805,0.38591638,1,0,correct_not_similar,1,0.0022734316749187,-0.1366966832522771,0.0022734316749187,0.1366966832522771,1,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark"
37,Qwen/Qwen3-Embedding-0.6B,Qwen3-0.6B,decoder,23,abtt_optimal,hidden,mean,3,0.5226130653266332,0.984924623115578,0.5226130653266332,79,80,161,162,/u/irowerojas/localLatin/canon/CANC.314.4/KoeD213.21r.1.txt,/u/irowerojas/localLatin/canon/CANC.314.5/BAV1341.11v.1.txt,CANC.314.4,CANC.314.5,CANC.314.5,pair_example,0,0.9859063,0.5102702,1,0,correct_not_similar,1,0.0009816798133465,-0.0123428870086095,0.0009816798133465,0.0123428870086095,2,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark"
38,Qwen/Qwen3-Embedding-0.6B,Qwen3-0.6B,decoder,23,abtt_optimal,hidden,mean,3,0.5226130653266332,0.984924623115578,0.5226130653266332,118,252,252,507,/u/irowerojas/localLatin/canon/CANT.328.22/Hat42.172v.1.txt,/u/irowerojas/localLatin/canon/CGAN.355.20/C1525.26r.3.txt,CANT.328.22,CGAN.355.20,CGAN.355.20,pair_example,0,0.9418698,-0.39657182,0,0,correct_not_similar,0,-0.0430548277931598,-0.9191848803405188,0.0430548277931598,0.9191848803405188,3,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark"
39,Qwen/Qwen3-Embedding-0.6B,Qwen3-0.6B,decoder,23,abtt_optimal,hidden,mean,3,0.5226130653266332,0.984924623115578,0.5226130653266332,216,222,431,445,/u/irowerojas/localLatin/canon/CCHA.451.5/Brn425.51v.6.txt,/u/irowerojas/localLatin/canon/CCHL.647.16/WlfH1062.6v.4.txt,CCHA.451.5,CCHL.647.16,CCHL.647.16,pair_example,0,0.91766244,-0.39476037,0,0,correct_not_similar,0,-0.0672621813850787,-0.9173734355811498,0.0672621813850787,0.9173734355811498,4,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark"
40,Qwen/Qwen3-Embedding-0.6B,Qwen3-0.6B,decoder,23,abtt_optimal,hidden,mean,3,0.5226130653266332,0.984924623115578,0.5226130653266332,228,463,454,913,/u/irowerojas/localLatin/canon/CEPA.517.29/Brn425.18r.2.txt,/u/irowerojas/localLatin/canon/CTOL.397.17/BAVPal575.4v.1.txt,CEPA.517.29,CTOL.397.17,CTOL.397.17,pair_example,0,0.92698765,-0.36572936,0,0,correct_not_similar,0,-0.0579369751053241,-0.8883424270991704,0.0579369751053241,0.8883424270991704,5,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark"
41,sentence-transformers/LaBSE,LaBSE,bert,12,abtt_optimal,hidden,mean,1,0.5829145728643216,0.9195979899497488,0.5829145728643216,96,97,197,200,/u/irowerojas/localLatin/canon/CANT.328.12/BAV1341.17v.2.txt,/u/irowerojas/localLatin/canon/CANT.328.12/D1723.537.7.txt,CANT.328.12,CANT.328.12,CANT.328.12,pair_example,1,0.9387057,0.49015737,1,0,wrong_similar,1,0.0191076928047677,-0.0927572070653713,0.0191076928047677,0.0927572070653713,1,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark"
42,sentence-transformers/LaBSE,LaBSE,bert,12,abtt_optimal,hidden,mean,1,0.5829145728643216,0.9195979899497488,0.5829145728643216,125,126,269,270,/u/irowerojas/localLatin/canon/CANT.328.4/BAV1341.17r.2.txt,/u/irowerojas/localLatin/canon/CANT.328.4/Brn425.34v.4.txt,CANT.328.4,CANT.328.4,CANT.328.4,pair_example,1,0.9493723,0.51036924,1,0,wrong_similar,1,0.0297743016151925,-0.0725453316266812,0.0297743016151925,0.0725453316266812,2,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark"
43,sentence-transformers/LaBSE,LaBSE,bert,12,abtt_optimal,hidden,mean,1,0.5829145728643216,0.9195979899497488,0.5829145728643216,406,407,822,823,/u/irowerojas/localLatin/canon/CORL.511.15/BN2123.93v.7.txt,/u/irowerojas/localLatin/canon/CORL.511.15/Brn425.39r.3.txt,CORL.511.15,CORL.511.15,CORL.511.15,pair_example,1,0.92783713,0.5113085,1,0,wrong_similar,1,0.0082391434578439,-0.0716060816343105,0.0082391434578439,0.0716060816343105,3,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark"
44,sentence-transformers/LaBSE,LaBSE,bert,12,abtt_optimal,hidden,mean,1,0.5829145728643216,0.9195979899497488,0.5829145728643216,311,313,628,631,/u/irowerojas/localLatin/canon/CNEO.315.13/Brn425.56v.2.txt,/u/irowerojas/localLatin/canon/CNEO.315.13/Hat42.161v.4.txt,CNEO.315.13,CNEO.315.13,CNEO.315.13,pair_example,1,0.92052364,0.53259885,1,0,wrong_similar,1,0.0009256535439035,-0.0503157197530544,0.0009256535439035,0.0503157197530544,4,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark"
45,sentence-transformers/LaBSE,LaBSE,bert,12,abtt_optimal,hidden,mean,1,0.5829145728643216,0.9195979899497488,0.5829145728643216,92,93,187,190,/u/irowerojas/localLatin/canon/CANT.328.10/BAV1341.17r.8.txt,/u/irowerojas/localLatin/canon/CANT.328.10/D1723.557.5.txt,CANT.328.10,CANT.328.10,CANT.328.10,pair_example,1,0.9468674,0.534948,1,0,wrong_similar,1,0.0272694164185067,-0.0479665814931667,0.0272694164185067,0.0479665814931667,5,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark"
46,bowphs/LaTa,LaTa,t5,4,abtt_optimal,hidden,mean,2,0.5628140703517588,0.9296482412060302,0.5628140703517588,302,303,608,610,/u/irowerojas/localLatin/canon/CNEO.315.10/BAV1341.13r.3.txt,/u/irowerojas/localLatin/canon/CNEO.315.10/C1525.23r.3.txt,CNEO.315.10,CNEO.315.10,CNEO.315.10,pair_example,1,0.9751767,-0.032101452,1,0,wrong_similar,1,0.0455284508029419,-0.5949155227023752,0.0455284508029419,0.5949155227023752,1,"ig,bertscore,ot,attention_weighted,dla,attention_standalone,retrieval_mark"
